code,name,file,url,status
11,Aceh,,,not_found
12,Sumatera Utara,,,not_found
13,Sumatera Barat,,,not_found
14,Riau,14.png,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Riau.svg,downloaded
15,Jambi,,,not_found
16,Sumatera Selatan,16.png,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20South%20Sumatra.svg,downloaded
17,Bengkulu,,,not_found
18,Lampung,18.png,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Lampung.svg,downloaded
19,Kepulauan Bangka Belitung,19.png,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Bangka%20Belitung%20Islands.svg,downloaded
21,Kepulauan Riau,21.png,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Riau%20Islands.svg,downloaded
31,Daerah Khusus Ibukota Jakarta,,,not_found
32,Jawa Barat,32.png,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20West%20Java.svg,downloaded
33,Jawa Tengah,,,not_found
34,Daerah Istimewa Yogyakarta,,,not_found
35,Jawa Timur,,,not_found
36,Banten,,,not_found
51,Bali,,,not_found
52,Nusa Tenggara Barat,,,not_found
53,Nusa Tenggara Timur,,,not_found
61,Kalimantan Barat,,,not_found
62,Kalimantan Tengah,,,not_found
63,Kalimantan Selatan,,,not_found
64,Kalimantan Timur,,,not_found
65,Kalimantan Utara,,,not_found
71,Sulawesi Utara,,,not_found
72,Sulawesi Tengah,,,not_found
73,Sulawesi Selatan,,,not_found
74,Sulawesi Tenggara,,,not_found
75,Gorontalo,,,not_found
76,Sulawesi Barat,,,not_found
81,Maluku,,,not_found
82,Maluku Utara,,,not_found
91,Papua,,,not_found
92,Papua Barat,,,not_found
93,Papua Selatan,,,not_found
94,Papua Tengah,,,not_found
95,Papua Pegunungan,,,not_found
96,Papua Barat Daya,,,not_found
